airline,flightNumber,origin,destination,daysOfWeek,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,scheduledDepartureTime,scheduledArrivalTime,flightTime,flightTimeMinutes,rate
IndiGo,837,Kochi,Delhi,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Y,Y,Y,Y,Y,Y,Y,00:55,04:10,03:15,195.00,6630
IndiGo,7168,Calicut,Kochi,Tuesday,N,Y,N,N,N,N,N,01:00,01:45,00:45,45.00,1530
IndiGo,7363,Kannur International Airport,Bengaluru,"Sunday,Monday",Y,N,N,N,N,N,Y,01:00,02:15,01:15,75.00,2550
IndiGo,7362,Kannur International Airport,Bengaluru,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Y,Y,Y,Y,Y,Y,Y,01:00,02:15,01:15,75.00,2550
IndiGo,7973,Kannur International Airport,Bengaluru,"Sunday,Monday",Y,N,N,N,N,N,Y,01:00,02:15,01:15,75.00,2550
IndiGo,6163,Goa,Coimbatore,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Y,Y,Y,Y,Y,Y,Y,01:00,02:20,01:20,80.00,2720
IndiGo,5384,Mumbai,Hyderabad,Monday,Y,N,N,N,N,N,N,01:00,02:25,01:25,85.00,2890
IndiGo,284,Pune,Nagpur,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Y,Y,Y,Y,Y,Y,Y,01:00,02:25,01:25,85.00,2890
IndiGo,284,Pune,MIHAN,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Y,Y,Y,Y,Y,Y,Y,01:00,02:25,01:25,85.00,2890
SpiceJet,788,Bengaluru,Mumbai,"Sunday,Wednesday,Thursday,Friday",N,N,Y,Y,Y,N,Y,01:00,02:50,01:50,110.00,3740
Air India,548,Coimbatore,Delhi,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Y,Y,Y,Y,Y,Y,Y,01:00,04:10,03:10,190.00,6460
IndiGo,7973,Kannur International Airport,Bengaluru,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Y,Y,Y,Y,Y,Y,Y,01:05,02:25,01:20,80.00,2720
GoAir,346,Mumbai,Delhi,"Sunday,Tuesday,Friday",N,Y,N,N,Y,N,Y,01:05,03:15,02:10,130.00,4420
IndiGo,363,Ahmedabad,Kolkata,Saturday,N,N,N,N,N,Y,N,01:05,03:35,02:30,150.00,5100
IndiGo,363,Ahmedabad,Kolkata,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Y,Y,Y,Y,Y,Y,Y,01:05,03:35,02:30,150.00,5100
SpiceJet,424,Bengaluru,Pune,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Y,Y,Y,Y,Y,Y,Y,01:10,02:40,01:30,90.00,3060
AirAsia India,308,Mumbai,Bengaluru,"Monday,Friday",Y,N,N,N,Y,N,N,01:10,03:00,01:50,110.00,3740
AirAsia India,308,Mumbai,Bengaluru,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Y,Y,Y,Y,Y,Y,Y,01:10,03:00,01:50,110.00,3740
IndiGo,2127,Kolkata,Delhi,Saturday,N,N,N,N,N,Y,N,01:10,03:25,02:15,135.00,4590
GoAir,394,Pune,Kolkata,Saturday,N,N,N,N,N,Y,N,01:10,03:35,02:25,145.00,4930
Vistara,802,Chennai,Bengaluru,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Y,Y,Y,Y,Y,Y,Y,01:10,09:00,07:50,470.00,
SpiceJet,523,Pune,Goa,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Y,Y,Y,Y,Y,Y,Y,01:15,02:15,01:00,60.00,2040
IndiGo,721,Pune,Indore,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Y,Y,Y,Y,Y,Y,Y,01:15,02:30,01:15,75.00,2550
IndiGo,206,Goa,Hyderabad,Saturday,N,N,N,N,N,Y,N,01:15,02:30,01:15,75.00,2550
IndiGo,6682,Bengaluru,Pune,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Y,Y,Y,Y,Y,Y,Y,01:15,02:40,01:25,85.00,2890
IndiGo,948,Goa,Ahmedabad,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Y,Y,Y,Y,Y,Y,Y,01:15,02:55,01:40,100.00,3400
Air India,884,Goa,Delhi,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Y,Y,Y,Y,Y,Y,Y,01:15,03:40,02:25,145.00,4930
IndiGo,2127,Kolkata,Delhi,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Y,Y,Y,Y,Y,Y,Y,01:15,03:45,02:30,150.00,5100
SpiceJet,9011,Bengaluru,Chennai,Saturday,N,N,N,N,N,Y,N,01:20,02:20,01:00,60.00,2040
AirAsia India,1459,Goa,Bengaluru,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Y,Y,Y,Y,Y,Y,Y,01:20,02:30,01:10,70.00,2380
SpiceJet,444,Pune,Chennai,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Y,Y,Y,Y,Y,Y,Y,01:20,03:05,01:45,105.00,3570
IndiGo,2125,Chennai,Delhi,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Y,Y,Y,Y,Y,Y,Y,01:20,04:10,02:50,170.00,5780
Vistara,510,Goa,Hyderabad,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Y,Y,Y,Y,Y,Y,Y,01:20,16:20,15:00,900.00,3000
AirAsia India,547,Kolkata,Delhi,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Y,Y,Y,Y,Y,Y,Y,01:25,03:55,02:30,150.00,5100
IndiGo,206,Goa,Hyderabad,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Y,Y,Y,Y,Y,Y,Y,01:30,02:45,01:15,75.00,2550
Air India,638,Indore,Delhi,"Sunday,Tuesday,Friday",N,Y,N,N,Y,N,Y,01:30,02:55,01:25,85.00,2890
IndiGo,763,Nagpur,Goa,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Y,Y,Y,Y,Y,Y,Y,01:30,03:15,01:45,105.00,3570
IndiGo,763,MIHAN,Goa,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Y,Y,Y,Y,Y,Y,Y,01:30,03:15,01:45,105.00,3570
IndiGo,6698,Patna,Delhi,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Y,Y,Y,Y,Y,Y,Y,01:30,03:15,01:45,105.00,3570
IndiGo,2127,Bhubaneswar,Delhi,Saturday,N,N,N,N,N,Y,N,01:30,04:05,02:35,155.00,5270
IndiGo,2127,Bhubaneswar,Delhi,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Y,Y,Y,Y,Y,Y,Y,01:30,04:05,02:35,155.00,5270
IndiGo,2135,Bengaluru,Delhi,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Y,Y,Y,Y,Y,Y,Y,01:30,04:15,02:45,165.00,5610
AirAsia India,736,Pune,Delhi,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Y,Y,Y,Y,Y,Y,Y,01:35,03:40,02:05,125.00,4250
GoAir,394,Pune,Kolkata,"Sunday,Tuesday,Thursday",N,Y,N,Y,N,N,Y,01:35,04:00,02:25,145.00,4930
IndiGo,6682,Goa,Pune,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Y,Y,Y,Y,Y,Y,Y,01:40,02:40,01:00,60.00,2040
IndiGo,6476,Varanasi,Pune,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Y,Y,Y,Y,Y,Y,Y,01:40,03:50,02:10,130.00,4420
IndiGo,2135,Bengaluru,Delhi,Tuesday,N,Y,N,N,N,N,N,01:40,04:25,02:45,165.00,5610
IndiGo,2135,Bengaluru,Delhi,Saturday,N,N,N,N,N,Y,N,01:40,04:25,02:45,165.00,5610
IndiGo,2135,Bengaluru,Delhi,"Sunday,Monday,Wednesday,Thursday,Friday",Y,N,Y,Y,Y,N,Y,01:40,04:25,02:45,165.00,5610
